,artist,played,song
0,Marteria,16:00,Das Geld Muss Weg
1,Dan Croll,16:04,Away From Today
2,Breeders,16:08,Wait In The Car
3,The National,16:10,Day I Die
4,Queens Of The Stone Age,16:14,The Way You Used To Do
5,Wolf Alice,16:19,Beautifully Unconventional
6,Childish Gambino,16:24,Redbone
7,J. Bernardt,16:28,Wicked Streets
8,Mile Me Deaf,16:31,Voyage
9,Charlotte Gainsbourg,16:37,Deadly Valentine
10,Beck,16:40,Up All Night
11,Imagine Dragons,16:46,Radioactive
12,Beth Ditto,16:52,Fire
13,MGMT,16:54,Little Dark Age
14,Kroko Jack ft. Skero,17:01,Vadient
15,Lana Del Rey ft. ASAP Rocky & Playboi C,17:04,Summer Bummer
16,Wanda,17:09,0043
17,Casper ft. Drangsal,17:13,Keine Angst
18,Drake,17:17,Passionfruit
19,Muse,17:20,Dig Down
20,Awolnation,17:27,Passion
21,HVOB ft. Winston Marshall,17:30,The Blame Game
22,Santigold,17:37,Disparate Youth
23,Kendrick Lamar,17:41,HUMBLE.
24,Benjamin Clementine,17:44,Jupiter
25,Cigarettes After Sex,17:49,Apocalypse
26,Joe Goddard ft Jess Mills,17:52,Music Is The Answer
27,Elektro Guzzi,17:56,Achse Dachse
28,Antilopen Gang,18:02,Pizza
29,Kraftklub,18:05,Chemie Chemie Ya
30,Camo & Krooked ft. James Hersey,18:10,Like I Do
31,alt-J,18:13,In Cold Blood
32,Leyya,18:20,Zoo
33,Arcade Fire,18:25,Creature Comfort
34,Voodoo Jürgens,18:32,Heite Grob Ma Tote Aus
35,Beyonce ft Jack White,18:36,Don't Hurt Yourself
36,Yung Hurn,18:43,Ok Cool
37,Portugal The Man,18:47,Feel It Still
38,Mavi Phoenix,18:52,Aventura
39,Bilderbuch,18:57,Bungalow
